Vehicle ID,Vehicle Type,Make & Model,Year of Manufacture,Fuel Type,Odometer Reading (km),Last Service Date,Next Service Due Date,Fuel Efficiency (km/l),Driver ID,Driver Experience (Years),Region of Operation,Trip Distance (km),Trip Duration (hrs),Average Speed (km/h),Fuel Consumption (liters),Fuel Cost (per trip),Total Maintenance Cost (YTD),Breakdowns Reported (YTD),Insurance Expiry Date,CO2 Emissions (g/km),Vehicle Status,Route Risk Level,Idle Time (hrs/month),Number of Trips (YTD)
VH-10000,Bus,Mercedes Citaro,2005,Electric,421707,2024-11-23,2025-05-16,7.3,DR-6809,11,East,292.32,3.68,79.43,40.04,63.35,9218.55,10,2025-04-21,51.02,Active,Medium,25.29,871
VH-10001,Car,Toyota Corolla,2005,Petrol,199076,2024-11-26,2025-01-18,8.77,DR-1049,12,Central,861.81,10.19,84.57,98.27,230.99,8191.38,6,2025-12-29,73.06,Decommissioned,High,8.7,267
VH-10002,Truck,Mercedes Actros,2017,Hybrid,67200,2024-08-07,2025-01-03,17.79,DR-1360,28,West,268.39,2.53,106.08,15.09,25.95,885.94,3,2025-07-12,162.76,In Repair,Medium,42.37,209
VH-10003,Bus,Mercedes Citaro,2005,Petrol,285377,2024-10-10,2025-02-02,20.62,DR-1866,31,East,156.41,2.03,77.05,7.59,17.98,3296.71,4,2025-04-13,359.96,Decommissioned,Low,8.14,189
VH-10004,Motorcycle,Honda CB500X,2012,Hybrid,350343,2025-01-20,2025-06-04,23.98,DR-7511,31,Central,797.56,15.21,52.44,33.26,79.56,9994.72,5,2025-12-01,272.44,Active,Low,12.79,652
VH-10005,Van,Renault Trafic,2020,Petrol,324426,2024-09-04,2025-02-16,23.82,DR-3728,5,Central,377.05,18.78,20.08,15.83,47.75,2812.37,9,2025-07-28,139.43,Active,High,17.24,268
VH-10006,Car,Honda Civic,2006,Electric,377239,2024-11-09,2025-02-14,23.68,DR-8397,14,Central,114.72,4.57,25.1,4.84,15.05,4221.86,1,2025-04-10,284.62,Active,Medium,24.06,319
VH-10007,Bus,Volvo 7900,2006,Hybrid,350513,2024-06-16,2024-11-14,6.57,DR-8401,10,East,71.32,0.65,109.72,10.86,24.15,5038.59,5,2025-06-13,75.29,In Repair,High,40.74,840
VH-10008,Bus,Volvo 7900,2019,Electric,344901,2024-07-24,2024-10-05,23.13,DR-7308,5,West,418.53,5.59,74.87,18.09,58.81,1427.59,3,2025-10-02,334.31,Decommissioned,High,47.49,777
VH-10009,Truck,Mercedes Actros,2009,Petrol,106960,2024-03-17,2024-08-25,10.48,DR-4565,15,South,171.13,8.44,20.28,16.33,26.97,6591.16,5,2025-04-25,112.61,In Repair,Low,12.28,594
VH-10010,Car,Toyota Corolla,2014,Diesel,254938,2024-04-25,2024-09-12,18.5,DR-5074,10,East,579.72,7.59,76.38,31.34,51.28,3370.44,0,2025-12-01,57.62,Active,High,31.66,890
VH-10011,Car,Honda Civic,2011,Diesel,247875,2024-04-02,2024-08-23,10.13,DR-2283,26,North,107.47,1.22,88.09,10.61,16.04,6259.77,2,2025-06-28,143.49,Decommissioned,Medium,46.04,667
VH-10012,Car,Toyota Corolla,2013,Electric,168425,2024-12-17,2025-05-24,20.02,DR-8864,7,North,287.74,2.46,116.97,14.37,21.95,7942.2,0,2025-10-30,109.08,Decommissioned,Low,19.46,299
VH-10013,Truck,Scania R,2022,Electric,117366,2024-07-15,2024-10-05,8.26,DR-7875,26,South,970.08,13.4,72.39,117.44,324.45,4061.14,3,2025-06-18,177.76,Active,Medium,34.8,835
VH-10014,Van,Ford Transit,2012,Diesel,521985,2024-07-05,2024-11-24,5.87,DR-5746,25,Central,350.42,14.81,23.66,59.7,190.63,4508.61,5,2025-10-15,313.35,Active,High,13.36,513
VH-10015,Truck,Volvo FH,2023,Diesel,193158,2024-12-01,2025-04-13,22.53,DR-2423,34,South,696.27,9.3,74.87,30.9,82.17,2083.2,7,2025-10-21,201.29,In Repair,Medium,42.79,303
VH-10016,Motorcycle,Honda CB500X,2019,Petrol,552622,2025-01-15,2025-02-23,17.83,DR-1052,25,East,908.35,8.04,112.98,50.95,100.51,4740.13,6,2025-08-06,201.79,In Repair,Low,49.03,787
VH-10017,Car,Ford Focus,2012,Electric,514187,2025-01-11,2025-05-02,10.94,DR-9180,26,North,94.59,1.41,67.09,8.65,22.14,3141.24,10,2025-12-08,154.52,Decommissioned,High,42.86,364
VH-10018,Van,Mercedes Sprinter,2007,Petrol,260588,2024-11-12,2025-05-10,19.44,DR-4385,14,Central,682.19,18.69,36.5,35.09,72.73,4695.84,1,2025-10-05,377.01,Active,Medium,42.26,735
VH-10019,Bus,Scania Citywide,2005,Electric,125258,2024-07-24,2024-10-22,19.03,DR-8983,33,East,693.45,7.52,92.21,36.44,95.05,9075.59,3,2025-11-10,144.05,Active,Medium,36.71,859
VH-10020,Motorcycle,Honda CB500X,2019,Electric,585614,2024-10-26,2025-01-24,12.01,DR-4063,25,West,182.24,2.22,82.09,15.17,20.97,3260.95,1,2025-08-21,89.6,In Repair,High,13.7,378
VH-10021,Motorcycle,Yamaha MT-07,2021,Petrol,403134,2024-11-05,2025-04-22,17.96,DR-8728,10,West,363.4,4.85,74.93,20.23,60.85,7497.41,2,2025-06-25,194.83,In Repair,Low,39.34,953
VH-10022,Bus,Mercedes Citaro,2015,Electric,497370,2024-02-25,2024-07-05,12.38,DR-6937,35,West,728.75,25.41,28.68,58.87,198.09,4901.87,6,2026-01-30,137.21,Active,Low,38.99,779
VH-10023,Bus,Scania Citywide,2012,Diesel,173884,2024-03-02,2024-07-24,8.81,DR-6223,8,South,116.07,1.49,77.9,13.17,45.05,1549.64,2,2025-10-01,227.69,In Repair,High,48.81,128
